file,type,line,method,methodStart,methodEnd,source
/__test__/sort.test.js,VerboseStatement,"{'startLine':62,'endLine':77}","it('should sort åäö desc', function () {
      list.alphabet = 'ABCDEFGHIJKLMNOPQRSTUVXYZÅÄÖabcdefghijklmnopqrstuvxyzåäö'
      i1.values({ val: 'a' })
      i2.values({ val: 'å' })
      i3.values({ val: 'ä' })
      i4.values({ val: 'ö' })
      i5.values({ val: 'o' })
      i6.values({ val: 's' })
      list.sort('val', { order: 'desc' })
      expect(list.items[0].values().val).toBe('ö')
      expect(list.items[1].values().val).toBe('ä')
      expect(list.items[2].values().val).toBe('å')
      expect(list.items[3].values().val).toBe('s')
      expect(list.items[4].values().val).toBe('o')
      expect(list.items[5].values().val).toBe('a')
    })",62,77,snuts
/__test__/sort.test.js,VerboseStatement,"{'startLine':78,'endLine':93}","it('should sort åäö asc', function () {
      list.alphabet = 'ABCDEFGHIJKLMNOPQRSTUVXYZÅÄÖabcdefghijklmnopqrstuvxyzåäö'
      i1.values({ val: 'a' })
      i2.values({ val: 'å' })
      i3.values({ val: 'ä' })
      i4.values({ val: 'ö' })
      i5.values({ val: 'o' })
      i6.values({ val: 's' })
      list.sort('val', { order: 'asc' })
      expect(list.items[0].values().val).toBe('a')
      expect(list.items[1].values().val).toBe('o')
      expect(list.items[2].values().val).toBe('s')
      expect(list.items[3].values().val).toBe('å')
      expect(list.items[4].values().val).toBe('ä')
      expect(list.items[5].values().val).toBe('ö')
    })",78,93,snuts
/__test__/sort.test.js,VerboseStatement,"{'startLine':94,'endLine':109}","it('should sort åäö desc case insensitive', function () {
      list.alphabet = 'AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvXxYyZzÅåÄäÖö'
      i1.values({ val: 'a' })
      i2.values({ val: 'Å' })
      i3.values({ val: 'ä' })
      i4.values({ val: 'Ö' })
      i5.values({ val: 'o' })
      i6.values({ val: 'S' })
      list.sort('val', { order: 'desc' })
      expect(list.items[0].values().val).toBe('Ö')
      expect(list.items[1].values().val).toBe('ä')
      expect(list.items[2].values().val).toBe('Å')
      expect(list.items[3].values().val).toBe('S')
      expect(list.items[4].values().val).toBe('o')
      expect(list.items[5].values().val).toBe('a')
    })",94,109,snuts
/__test__/sort.test.js,VerboseStatement,"{'startLine':110,'endLine':125}","it('should sort åäö asc case insensitive', function () {
      list.alphabet = 'AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvXxYyZzÅåÄäÖö'
      i1.values({ val: 'A' })
      i2.values({ val: 'å' })
      i3.values({ val: 'Ä' })
      i4.values({ val: 'ö' })
      i5.values({ val: 'O' })
      i6.values({ val: 's' })
      list.sort('val', { order: 'asc' })
      expect(list.items[0].values().val).toBe('A')
      expect(list.items[1].values().val).toBe('O')
      expect(list.items[2].values().val).toBe('s')
      expect(list.items[3].values().val).toBe('å')
      expect(list.items[4].values().val).toBe('Ä')
      expect(list.items[5].values().val).toBe('ö')
    })",110,125,snuts
/__test__/sort.test.js,VerboseStatement,"{'startLine':289,'endLine':307}","it('should handle not longer (since 1.4.0) space and zero the same for desc and asc', function () {
      list.clear()
      list.add({ val: '' })
      list.add({ val: '0' })
      list.add({ val: 0 })

      list.sort('val', { order: 'asc' })
      expect(list.items[0].values().val).toBe('')
      expect(list.items[1].values().val).toBe('0')
      expect(list.items[2].values().val).toBe(0)
      list.sort('val', { order: 'desc' })
      expect(list.items[0].values().val).toBe('0')
      expect(list.items[1].values().val).toBe(0)
      expect(list.items[2].values().val).toBe('')
      list.sort('val', { order: 'asc' })
      expect(list.items[0].values().val).toBe('')
      expect(list.items[1].values().val).toBe('0')
      expect(list.items[2].values().val).toBe(0)
    })",289,307,snuts
/__test__/sort.test.js,VerboseStatement,"{'startLine':333,'endLine':353}","it('should use default custom sort function', function () {
      list.sortFunction = function (itemA, itemB, options) {
        return list.utils.naturalSort(
          $(itemA.values()[options.valueName]).val(),
          $(itemB.values()[options.valueName]).val()
        )
      }
      i1.values({ val: ""<input value='b' />"" })
      i2.values({ val: ""<input value='a' />"" })
      i3.values({ val: ""<input value='c' />"" })
      i4.values({ val: ""<input value='z' />"" })
      i5.values({ val: ""<input value='s' />"" })
      i6.values({ val: ""<input value='y' />"" })
      list.sort('val')
      expect(list.items[0].values().val).toBe(""<input value='a' />"")
      expect(list.items[1].values().val).toBe(""<input value='b' />"")
      expect(list.items[2].values().val).toBe(""<input value='c' />"")
      expect(list.items[3].values().val).toBe(""<input value='s' />"")
      expect(list.items[4].values().val).toBe(""<input value='y' />"")
      expect(list.items[5].values().val).toBe(""<input value='z' />"")
    })",333,353,snuts
/__test__/sort.test.js,VerboseStatement,"{'startLine':354,'endLine':374}","it('should use default custom sort function with order desc', function () {
      list.sortFunction = function (itemA, itemB, options) {
        return list.utils.naturalSort(
          $(itemA.values()[options.valueName]).val(),
          $(itemB.values()[options.valueName]).val()
        )
      }
      i1.values({ val: ""<input value='b' />"" })
      i2.values({ val: ""<input value='a' />"" })
      i3.values({ val: ""<input value='c' />"" })
      i4.values({ val: ""<input value='z' />"" })
      i5.values({ val: ""<input value='s' />"" })
      i6.values({ val: ""<input value='y' />"" })
      list.sort('val', { order: 'desc' })
      expect(list.items[0].values().val).toBe(""<input value='z' />"")
      expect(list.items[1].values().val).toBe(""<input value='y' />"")
      expect(list.items[2].values().val).toBe(""<input value='s' />"")
      expect(list.items[3].values().val).toBe(""<input value='c' />"")
      expect(list.items[4].values().val).toBe(""<input value='b' />"")
      expect(list.items[5].values().val).toBe(""<input value='a' />"")
    })",354,374,snuts
/__test__/show.test.js,IdenticalTestDescription,"{'startLine':132,'endLine':145}","it('should show 3, 4', function () {
      list.filter(function (item) {
        return item.values().id2 == 'b'
      })
      list.show(1, 2)
      expect(list.visibleItems.length).toEqual(2)
      expect(list.matchingItems.length).toEqual(2)
      expect(a.visible()).toBe(false)
      expect(b.visible()).toBe(false)
      expect(c.visible()).toBe(true)
      expect(d.visible()).toBe(true)
      expect(e.visible()).toBe(false)
      expect(f.visible()).toBe(false)
    })",132,145,snuts
/__test__/show.test.js,IdenticalTestDescription,"{'startLine':146,'endLine':159}","it('should show item 3,4,5,6', function () {
      list.filter(function (item) {
        return item.values().id2 == 'bc'
      })
      list.show(1, 4)
      expect(list.visibleItems.length).toEqual(2)
      expect(list.matchingItems.length).toEqual(2)
      expect(a.visible()).toBe(false)
      expect(b.visible()).toBe(false)
      expect(c.visible()).toBe(false)
      expect(d.visible()).toBe(false)
      expect(e.visible()).toBe(true)
      expect(f.visible()).toBe(true)
    })",146,159,snuts
/__test__/show.test.js,IdenticalTestDescription,"{'startLine':160,'endLine':173}","it('should not show any items but match two', function () {
      list.filter(function (item) {
        return item.values().id2 == 'b'
      })
      list.show(3, 2)
      expect(list.visibleItems.length).toEqual(0)
      expect(list.matchingItems.length).toEqual(2)
      expect(a.visible()).toBe(false)
      expect(b.visible()).toBe(false)
      expect(c.visible()).toBe(false)
      expect(d.visible()).toBe(false)
      expect(e.visible()).toBe(false)
      expect(f.visible()).toBe(false)
    })",160,173,snuts
