file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/trigger.test.js,Unknown Test,"{'column': 4, 'line': 15}","  13 |
  14 |   describe('General', function () {
> 15 |     it('should be triggered by searchComplete', function (done) {
     |    ^ Unknown Test
  16 |       list.on('searchComplete', function () {
  17 |         done()
  18 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/sort.test.js,Duplicate Assert,"{'line': 296, 'column': 6, 'index': 11350}","  294 |
  295 |       list.sort('val', { order: 'asc' })
> 296 |       expect(list.items[0].values().val).toBe('')
      |      ^ Duplicate Assert
  297 |       expect(list.items[1].values().val).toBe('0')
  298 |       expect(list.items[2].values().val).toBe(0)
  299 |       list.sort('val', { order: 'desc' })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/sort.test.js,Duplicate Assert,"{'line': 296, 'column': 6, 'index': 11350}","  294 |
  295 |       list.sort('val', { order: 'asc' })
> 296 |       expect(list.items[0].values().val).toBe('')
      |      ^ Duplicate Assert
  297 |       expect(list.items[1].values().val).toBe('0')
  298 |       expect(list.items[2].values().val).toBe(0)
  299 |       list.sort('val', { order: 'desc' })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/sort.test.js,Duplicate Assert,"{'line': 297, 'column': 6, 'index': 11400}","  295 |       list.sort('val', { order: 'asc' })
  296 |       expect(list.items[0].values().val).toBe('')
> 297 |       expect(list.items[1].values().val).toBe('0')
      |      ^ Duplicate Assert
  298 |       expect(list.items[2].values().val).toBe(0)
  299 |       list.sort('val', { order: 'desc' })
  300 |       expect(list.items[0].values().val).toBe('0')"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/sort.test.js,Duplicate Assert,"{'line': 297, 'column': 6, 'index': 11400}","  295 |       list.sort('val', { order: 'asc' })
  296 |       expect(list.items[0].values().val).toBe('')
> 297 |       expect(list.items[1].values().val).toBe('0')
      |      ^ Duplicate Assert
  298 |       expect(list.items[2].values().val).toBe(0)
  299 |       list.sort('val', { order: 'desc' })
  300 |       expect(list.items[0].values().val).toBe('0')"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/sort.test.js,Duplicate Assert,"{'line': 298, 'column': 6, 'index': 11451}","  296 |       expect(list.items[0].values().val).toBe('')
  297 |       expect(list.items[1].values().val).toBe('0')
> 298 |       expect(list.items[2].values().val).toBe(0)
      |      ^ Duplicate Assert
  299 |       list.sort('val', { order: 'desc' })
  300 |       expect(list.items[0].values().val).toBe('0')
  301 |       expect(list.items[1].values().val).toBe(0)"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/sort.test.js,Duplicate Assert,"{'line': 298, 'column': 6, 'index': 11451}","  296 |       expect(list.items[0].values().val).toBe('')
  297 |       expect(list.items[1].values().val).toBe('0')
> 298 |       expect(list.items[2].values().val).toBe(0)
      |      ^ Duplicate Assert
  299 |       list.sort('val', { order: 'desc' })
  300 |       expect(list.items[0].values().val).toBe('0')
  301 |       expect(list.items[1].values().val).toBe(0)"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/sort.test.js,Duplicate Assert,"{'line': 300, 'column': 6, 'index': 11542}","  298 |       expect(list.items[2].values().val).toBe(0)
  299 |       list.sort('val', { order: 'desc' })
> 300 |       expect(list.items[0].values().val).toBe('0')
      |      ^ Duplicate Assert
  301 |       expect(list.items[1].values().val).toBe(0)
  302 |       expect(list.items[2].values().val).toBe('')
  303 |       list.sort('val', { order: 'asc' })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/sort.test.js,Duplicate Assert,"{'line': 301, 'column': 6, 'index': 11593}","  299 |       list.sort('val', { order: 'desc' })
  300 |       expect(list.items[0].values().val).toBe('0')
> 301 |       expect(list.items[1].values().val).toBe(0)
      |      ^ Duplicate Assert
  302 |       expect(list.items[2].values().val).toBe('')
  303 |       list.sort('val', { order: 'asc' })
  304 |       expect(list.items[0].values().val).toBe('')"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/sort.test.js,Duplicate Assert,"{'line': 302, 'column': 6, 'index': 11642}","  300 |       expect(list.items[0].values().val).toBe('0')
  301 |       expect(list.items[1].values().val).toBe(0)
> 302 |       expect(list.items[2].values().val).toBe('')
      |      ^ Duplicate Assert
  303 |       list.sort('val', { order: 'asc' })
  304 |       expect(list.items[0].values().val).toBe('')
  305 |       expect(list.items[1].values().val).toBe('0')"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/sort.test.js,Duplicate Assert,"{'line': 304, 'column': 6, 'index': 11733}","  302 |       expect(list.items[2].values().val).toBe('')
  303 |       list.sort('val', { order: 'asc' })
> 304 |       expect(list.items[0].values().val).toBe('')
      |      ^ Duplicate Assert
  305 |       expect(list.items[1].values().val).toBe('0')
  306 |       expect(list.items[2].values().val).toBe(0)
  307 |     })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/sort.test.js,Duplicate Assert,"{'line': 304, 'column': 6, 'index': 11733}","  302 |       expect(list.items[2].values().val).toBe('')
  303 |       list.sort('val', { order: 'asc' })
> 304 |       expect(list.items[0].values().val).toBe('')
      |      ^ Duplicate Assert
  305 |       expect(list.items[1].values().val).toBe('0')
  306 |       expect(list.items[2].values().val).toBe(0)
  307 |     })"
