Name,JavaScript Percentage,Test Framework,License
mailcow/mailcow-dockerized,33.84%,no framework test,GNU General Public License v3.0
jsdelivr/jsdelivr,100.00%,no framework test,MIT License
webhooksite/webhook.site,95.94%,no framework test,Other
choices-js/choices,68.30%,no framework test,MIT License
google/zx,63.26%,no framework test,Apache License 2.0
evidence-dev/evidence,51.21%,no framework test,MIT License
vernesong/openclash,23.41%,no framework test,MIT License
tooljet/tooljet,66.77%,no framework test,GNU Affero General Public License v3.0
overleaf/overleaf,64.21%,no framework test,GNU Affero General Public License v3.0
ckeditor/ckeditor5,31.56%,no framework test,GNU General Public License v2.0
louislam/uptime-kuma,54.31%,no framework test,MIT License
import-js/eslint-plugin-import,99.12%,mocha,MIT License
vitejs/awesome-vite,100.00%,no framework test,MIT License
nobyda/script,98.14%,no framework test,GNU General Public License v3.0
antonioru/beautiful-react-hooks,51.38%,mocha,MIT License
advplyr/audiobookshelf,67.15%,mocha,GNU General Public License v3.0
unblockneteasemusic/server,98.14%,jest,GNU Lesser General Public License v3.0
parallax/jspdf,96.38%,jasmine,MIT License
graphql/graphql-spec,82.98%,no framework test,Other
vickscarlet/liferestart,99.79%,no framework test,MIT License
rabbitmq/rabbitmq-server,55.89%,no framework test,Other
wanglin2/mind-map,71.91%,no framework test,MIT License
metalsmith/metalsmith,93.26%,mocha,MIT License
gz-yami/mall4cloud,35.37%,no framework test,GNU Affero General Public License v3.0
debug-js/debug,100.00%,mocha,MIT License
tangly1024/notionnext,96.19%,jest,MIT License
neetcode-gh/leetcode,16.19%,no framework test,MIT License
dustinbrett/daedalos,88.79%,jest,MIT License
nginxproxymanager/nginx-proxy-manager,72.20%,no framework test,MIT License
node-config/node-config,97.87%,no framework test,Other
maboloshi/github-chinese,99.80%,no framework test,GNU General Public License v3.0
shaka-project/shaka-player,97.23%,no framework test,Apache License 2.0
alasql/alasql,94.41%,mocha,MIT License
jsx-eslint/eslint-plugin-react,100.00%,mocha,MIT License
layui/layui,83.91%,no framework test,MIT License
itorr/nbnhhsh,48.14%,no framework test,Apache License 2.0
victornpb/undiscord,81.81%,no framework test,Other
wiselibs/better-sqlite3,68.18%,mocha,MIT License
codemirror/codemirror5,77.76%,no framework test,MIT License
codemirror/dev,100.00%,no framework test,Other
sub-store-org/sub-store,99.95%,no framework test,GNU Affero General Public License v3.0
googlechromelabs/quicklink,92.32%,no framework test,Apache License 2.0
sublimetext/spacegray,89.56%,no framework test,MIT License
aisingapore/tagui,31.93%,no framework test,Apache License 2.0
hapijs/joi,97.42%,no framework test,Other
dream-num/luckysheet,90.86%,no framework test,MIT License
usebruno/bruno,86.00%,jest,MIT License
ladjs/superagent,88.41%,mocha,MIT License
appbaseio/dejavu,99.35%,jest,MIT License
ladjs/supertest,100.00%,mocha,MIT License
basecamp/trix,82.81%,no framework test,MIT License
leaningtech/webvm,43.90%,no framework test,Apache License 2.0
midudev/preguntas-entrevista-react,77.72%,no framework test,MIT License
naibowang/easyspider,47.71%,no framework test,GNU Affero General Public License v3.0
wangrongding/wechat-bot,96.79%,no framework test,MIT License
bootboxjs/bootbox,99.16%,mocha,Other
pt-plugins/pt-plugin-plus,37.88%,no framework test,MIT License
avajs/ava,90.65%,no framework test,MIT License
decaporg/decap-cms,67.48%,jest,MIT License
ohmjs/ohm,64.43%,no framework test,MIT License
501351981/vue-office,82.89%,no framework test,MIT License
postcatlab/postcat,75.77%,no framework test,Apache License 2.0
azukaar/cosmos-server,66.75%,no framework test,Other
socialsisteryi/bilibili-api-collect,77.02%,no framework test,Other
di-sukharev/opencommit,98.06%,jest,MIT License
automatisch/automatisch,99.69%,no framework test,Other
yokoffing/betterfox,93.83%,no framework test,MIT License
schlagmichdoch/pairdrop,70.30%,no framework test,GNU General Public License v3.0
josstorer/chatgptbox,89.14%,no framework test,MIT License
xcanwin/keepchatgpt,77.05%,no framework test,GNU General Public License v2.0
songquanpeng/one-api,61.70%,no framework test,MIT License
offciercia/defi-developer-road-map,100.00%,no framework test,Other
idurar/idurar-erp-crm,94.00%,no framework test,GNU Affero General Public License v3.0
jaywcjlove/hotkeys-js,93.12%,jest,MIT License
klaudiosinani/taskbook,100.00%,no framework test,MIT License
mintplex-labs/anything-llm,97.96%,jest,MIT License
wenda-llm/wenda,85.34%,no framework test,GNU Affero General Public License v3.0
orbitdb/orbitdb,97.74%,mocha,MIT License
pinokiocomputer/pinokio,90.61%,no framework test,MIT License
whiskeysockets/baileys,77.54%,jest,MIT License
tjy-gitnub/win12,42.24%,no framework test,Other
easydiffusion/easydiffusion,73.80%,no framework test,Other
HumanSignal/label-studio,31.43%,no framework test,Apache License 2.0
pot-app/pot-desktop,86.71%,no framework test,GNU General Public License v3.0
fishjar/kiss-translator,98.48%,no framework test,GNU General Public License v3.0
SillyTavern/SillyTavern,84.37%,no framework test,GNU Affero General Public License v3.0
MHSanaei/3x-ui,16.47%,no framework test,GNU General Public License v3.0
meshery/meshery,58.11%,no framework test,Apache License 2.0
nodejs/node,62.18%,no framework test,Other
LiteLoaderQQNT/LiteLoaderQQNT,83.76%,no framework test,MIT License
fluent-ffmpeg/node-fluent-ffmpeg,96.42%,mocha,MIT License
olton/Metro-UI-CSS,51.22%,no framework test,MIT License
bowser-js/bowser,100.00%,ava,Other
CodeGenieApp/serverless-express,99.76%,jest,Apache License 2.0
lint-staged/lint-staged,99.36%,no framework test,MIT License
clappr/clappr,79.30%,no framework test,"BSD 3-Clause ""New"" or ""Revised"" License"
jerryc127/hexo-theme-butterfly,40.26%,no framework test,Apache License 2.0
viarotel-org/escrcpy,47.83%,no framework test,Apache License 2.0
codecombat/codecombat,85.44%,jasmine,MIT License
MagicMirrorOrg/MagicMirror,89.22%,jest,MIT License
beautifier/js-beautify,42.74%,mocha,MIT License
nuejs/nue,86.28%,no framework test,MIT License
koodo-reader/koodo-reader,75.47%,no framework test,GNU Affero General Public License v3.0
OpenSignLabs/OpenSign,96.69%,no framework test,Other
Chalarangelo/30-seconds-of-code,65.39%,no framework test,Creative Commons Attribution 4.0 International
fanmingming/live,92.06%,no framework test,GNU General Public License v3.0
gethomepage/homepage,98.10%,no framework test,GNU General Public License v3.0
facebook/stylex,97.98%,jest,MIT License
end-4/dots-hyprland,4.22%,no framework test,GNU General Public License v3.0
reorproject/reor,58.57%,jest,GNU Affero General Public License v3.0
marcelscruz/public-apis,100.00%,no framework test,MIT License
cmliu/edgetunnel,100.00%,no framework test,GNU General Public License v2.0
cmliu/WorkerVless2sub,100.00%,no framework test,Apache License 2.0
danielmiessler/fabric,55.64%,no framework test,MIT License
learntocloud/learn-to-cloud,35.39%,no framework test,MIT License
bia-pain-bache/BPB-Worker-Panel,70.00%,no framework test,GNU General Public License v3.0
TheOdinProject/curriculum,100.00%,no framework test,Other
klaudiosinani/signale,72.88%,no framework test,MIT License
tape-testing/tape,99.83%,no framework test,MIT License
HeyPuter/puter,94.38%,mocha,GNU Affero General Public License v3.0
cmliu/CF-Workers-SUB,100.00%,no framework test,Apache License 2.0
Dooy/chatgpt-web-midjourney-proxy,36.18%,no framework test,MIT License
cryptpad/cryptpad,80.01%,no framework test,GNU Affero General Public License v3.0
drawdb-io/drawdb,98.86%,no framework test,GNU Affero General Public License v3.0
spicetify/cli,70.64%,no framework test,GNU Lesser General Public License v2.1
mouredev/hello-javascript,98.66%,jest,Apache License 2.0
poloclub/transformer-explainer,95.04%,no framework test,MIT License
TiddlyWiki/TiddlyWiki5,96.70%,no framework test,Other
InternLM/MindSearch,74.62%,no framework test,Apache License 2.0
DavidHDev/react-bits,54.13%,no framework test,Other
SnapDrop/snapdrop,64.22%,no framework test,GNU General Public License v3.0
ai-shifu/ChatALL,59.82%,no framework test,Apache License 2.0
huggingface/transformers.js,96.27%,jest,Apache License 2.0
xszyou/Fay,41.09%,no framework test,GNU General Public License v3.0
ShareDropio/sharedrop,62.15%,no framework test,MIT License
bluewave-labs/checkmate,82.28%,no framework test,GNU Affero General Public License v3.0
open-webui/open-webui,31.87%,cypress,Other
olton/metroui,51.22%,no framework test,MIT License
hmjz100/LinkSwift,100.00%,no framework test,GNU Affero General Public License v3.0
rust-lang/rust-by-example,89.38%,no framework test,Apache License 2.0
ConardLi/easy-dataset,99.51%,no framework test,Other
f/awesome-chatgpt-prompts,55.50%,no framework test,Creative Commons Zero v1.0 Universal
StrayMeteor3337/WechatRealFriends,69.40%,no framework test,MIT License
eyaltoledano/claude-task-master,63.96%,jest,Other
saadeghi/daisyui,32.56%,no framework test,MIT License
QuantumNous/new-api,55.21%,no framework test,Other
LibreSpark/LibreTV,76.83%,no framework test,Apache License 2.0
upstash/context7,63.66%,no framework test,MIT License
joemccann/dillinger,38.79%,no framework test,MIT License
mozilla-firefox/firefox,28.35%,no framework test,Other
zumerlab/snapdom,100.00%,no framework test,MIT License
jamez-bondos/awesome-gpt4o-images,100.00%,no framework test,Other
bmadcode/BMAD-METHOD,97.85%,jest,Other
ChatGPTBox-dev/chatGPTBox,89.14%,no framework test,MIT License
electron/minimal-repro,75.86%,no framework test,Creative Commons Zero v1.0 Universal
github/awesome-copilot,99.37%,no framework test,MIT License
xixu-me/Xget,99.37%,no framework test,GNU General Public License v3.0
forwardemail/superagent,88.41%,mocha,MIT License
forwardemail/supertest,100.00%,mocha,MIT License
ruvnet/claude-flow,42.77%,jest,MIT License
davila7/claude-code-templates,48.42%,no framework test,MIT License
mathjax/MathJax,93.89%,no framework test,Apache License 2.0
bmad-code-org/BMAD-METHOD,97.85%,jest,Other
grab/cursor-talk-to-figma-mcp,88.69%,no framework test,MIT License
GoogleChrome/samples,48.75%,no framework test,Apache License 2.0
JimmyLv/awesome-nano-banana,100.00%,no framework test,Other
trueadm/ripple,87.72%,no framework test,MIT License
