file,type,line,method,methodStart,methodEnd,source
/src/__tests__/Collection-test.js,NonFunctionalStatement,"{'startLine':134,'endLine':134}","it('handles type inheritance with multiple parents', function() {
      Collection.registerMethods(
        {expressionMethod: function() {}},
        types.Expression
      );
      const collection = Collection.fromNodes([
        b.functionExpression(null, [], b.blockStatement([]))
      ]);
      expect(() => collection.expressionMethod()).not.toThrow();
    })",132,141,snuts
/src/__tests__/Collection-test.js,NonFunctionalStatement,"{'startLine':145,'endLine':145}","it('allows multiple registrations for non-conflicting types', function () {
      Collection.registerMethods(
        {foo: function () {}},
        types.FunctionExpression
      );

      Collection.registerMethods(
        {foo: function () {}},
        types.BinaryExpression
      );

      const collection = Collection.fromNodes([
        b.functionExpression(null, [], b.blockStatement([])),
        b.functionExpression(null, [], b.blockStatement([])),
        b.binaryExpression('+', b.identifier('a'), b.identifier('b'))
      ]);

      function typeFilter(type) {
        return function (path) {
          return type.check(path.value);
        };
      }

      // allowed if collection contents match one of the registered types.
      collection.filter(typeFilter(types.BinaryExpression)).foo();
      collection.filter(typeFilter(types.FunctionExpression)).foo();

      // not allowed if there is mixed types (even though all types match one function or the other).
      expect(function () {
        collection.foo();
      }).toThrow();
    })",143,174,snuts
/src/__tests__/Collection-test.js,NonFunctionalStatement,"{'startLine':150,'endLine':150}","it('allows multiple registrations for non-conflicting types', function () {
      Collection.registerMethods(
        {foo: function () {}},
        types.FunctionExpression
      );

      Collection.registerMethods(
        {foo: function () {}},
        types.BinaryExpression
      );

      const collection = Collection.fromNodes([
        b.functionExpression(null, [], b.blockStatement([])),
        b.functionExpression(null, [], b.blockStatement([])),
        b.binaryExpression('+', b.identifier('a'), b.identifier('b'))
      ]);

      function typeFilter(type) {
        return function (path) {
          return type.check(path.value);
        };
      }

      // allowed if collection contents match one of the registered types.
      collection.filter(typeFilter(types.BinaryExpression)).foo();
      collection.filter(typeFilter(types.FunctionExpression)).foo();

      // not allowed if there is mixed types (even though all types match one function or the other).
      expect(function () {
        collection.foo();
      }).toThrow();
    })",143,174,snuts
/src/__tests__/Collection-test.js,NonFunctionalStatement,"{'startLine':179,'endLine':179}","describe('hasConflictingRegistration', function () {
      function register(methodName, type) {
        const methods = {};
        methods[methodName] = function () {};
        if (!types[type]) {
          throw new Error(type + ' is not a valid type');
        }
        Collection.registerMethods(methods, types[type]);
      }

      it('true if supertype is registered', function () {
        register('supertypeIsRegistered', 'Expression');
        expect(Collection.hasConflictingRegistration('supertypeIsRegistered', 'FunctionExpression')).toBe(true);
      });

      it('true if subtype is registered', function () {
        register('subtypeIsRegistered', 'FunctionExpression');
        expect(Collection.hasConflictingRegistration('subtypeIsRegistered', 'Expression')).toBe(true);
      });

      it('false if only a sibling type is registered', function () {
        register('siblingIsRegistered', 'FunctionExpression');
        expect(Collection.hasConflictingRegistration('siblingIsRegistered', 'BinaryExpression')).toBe(false);
      });
    })",176,200,snuts
/src/__tests__/Collection-test.js,NonFunctionalStatement,"{'startLine':229,'endLine':229}","it('returns the collection itself', function() {
        const fVariables = Collection.fromNodes(nodes);
        const result = fVariables.forEach(function(){});

        expect(result).toBe(fVariables);
      })",227,232,snuts
/src/__tests__/Collection-test.js,SubOptimalAssert,"{'startLine':211,'endLine':211}","it('lets you filter with custom logic', function() {
        const filter = jest.fn(function(path) {
          return path.value.name === 'foo';
        });
        const fooVariables = Collection.fromNodes(nodes).filter(filter);

        expect(filter.mock.calls.length).toBe(2);
        expect(fooVariables.length).toBe(1);
      })",205,213,snuts
/src/__tests__/Collection-test.js,SubOptimalAssert,"{'startLine':212,'endLine':212}","it('lets you filter with custom logic', function() {
        const filter = jest.fn(function(path) {
          return path.value.name === 'foo';
        });
        const fooVariables = Collection.fromNodes(nodes).filter(filter);

        expect(filter.mock.calls.length).toBe(2);
        expect(fooVariables.length).toBe(1);
      })",205,213,snuts
/src/__tests__/Collection-test.js,SubOptimalAssert,"{'startLine':222,'endLine':222}","it('lets you iterate over each element of an collection', function() {
        const each = jest.fn();
        Collection.fromNodes(nodes).forEach(each);

        expect(each.mock.calls.length).toBe(2);
        expect(each.mock.calls[0][0].value).toBe(nodes[0]);
        expect(each.mock.calls[1][0].value).toBe(nodes[1]);
      })",218,225,snuts
/src/__tests__/Collection-test.js,SubOptimalAssert,"{'startLine':240,'endLine':240}","it('lets you test each element of a collection and stops when one passes the test', function() {
        const each = jest.fn().mockImplementation(() => true);
        Collection.fromNodes(nodes).some(each);

        expect(each.mock.calls.length).toBe(1);
        expect(each.mock.calls[0][0].value).toBe(nodes[0]);
      })",236,242,snuts
/src/__tests__/Collection-test.js,SubOptimalAssert,"{'startLine':260,'endLine':260}","it('lets you test each element of a collection and stops when one fails the test', function() {
        const each = jest.fn().mockImplementation(() => false);
        Collection.fromNodes(nodes).every(each);

        expect(each.mock.calls.length).toBe(1);
        expect(each.mock.calls[0][0].value).toBe(nodes[0]);
      })",256,262,snuts
/src/__tests__/Collection-test.js,SubOptimalAssert,"{'startLine':281,'endLine':281}","it('returns a new collection with mapped values', function() {
        const root = Collection.fromNodes(nodes);
        const mapped = root.map((_, i) => new NodePath(nodes[+!i]));

        expect(root).not.toBe(mapped);
        expect(mapped.length).toBe(2);
        expect(mapped.nodes()[0]).toBe(nodes[1]);
        expect(mapped.nodes()[1]).toBe(nodes[0]);
      })",276,284,snuts
/src/__tests__/Collection-test.js,SubOptimalAssert,"{'startLine':292,'endLine':292}","it('dedupes elements', function() {
        const path = new NodePath(nodes[0]);
        const root = Collection.fromNodes(nodes);
        const mapped = root.map(() => path);

        expect(root).not.toBe(mapped);
        expect(mapped.length).toBe(1);
        expect(mapped.paths()[0]).toBe(path);
      })",286,294,snuts
