file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 69, 'column': 4, 'index': 1904}","  67 |     load(img, settings, instance);
  68 |     restore(img, settings);
> 69 |     expect(img).toHaveAttributeValue(""src"", url1);
     |    ^ Duplicate Assert
  70 |     expect(img).toHaveAttributeValue(""srcset"", url2);
  71 |   });
  72 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 70, 'column': 4, 'index': 1955}","  68 |     restore(img, settings);
  69 |     expect(img).toHaveAttributeValue(""src"", url1);
> 70 |     expect(img).toHaveAttributeValue(""srcset"", url2);
     |    ^ Duplicate Assert
  71 |   });
  72 |
  73 |   test(""with initial values in src and srcset and empty data-*"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 80, 'column': 4, 'index': 2308}","  78 |     load(img, settings, instance);
  79 |     restore(img, settings);
> 80 |     expect(img).toHaveAttributeValue(""src"", url200);
     |    ^ Duplicate Assert
  81 |     expect(img).toHaveAttributeValue(""srcset"", url400);
  82 |   });
  83 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 81, 'column': 4, 'index': 2361}","  79 |     restore(img, settings);
  80 |     expect(img).toHaveAttributeValue(""src"", url200);
> 81 |     expect(img).toHaveAttributeValue(""srcset"", url400);
     |    ^ Duplicate Assert
  82 |   });
  83 |
  84 |   test(""has no classes nor status after restore"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 88, 'column': 4, 'index': 2583}","  86 |     load(img, settings, instance);
  87 |     restore(img, settings);
> 88 |     expect(img).not.toHaveClassName(""applied"");
     |    ^ Duplicate Assert
  89 |     expect(img).not.toHaveClassName(""loading"");
  90 |     expect(img).not.toHaveClassName(""loaded"");
  91 |     expect(img).not.toHaveClassName(""error"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 89, 'column': 4, 'index': 2631}","  87 |     restore(img, settings);
  88 |     expect(img).not.toHaveClassName(""applied"");
> 89 |     expect(img).not.toHaveClassName(""loading"");
     |    ^ Duplicate Assert
  90 |     expect(img).not.toHaveClassName(""loaded"");
  91 |     expect(img).not.toHaveClassName(""error"");
  92 |     expect(img).not.toHaveClassName(""entered"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 90, 'column': 4, 'index': 2679}","  88 |     expect(img).not.toHaveClassName(""applied"");
  89 |     expect(img).not.toHaveClassName(""loading"");
> 90 |     expect(img).not.toHaveClassName(""loaded"");
     |    ^ Duplicate Assert
  91 |     expect(img).not.toHaveClassName(""error"");
  92 |     expect(img).not.toHaveClassName(""entered"");
  93 |     expect(img).not.toHaveClassName(""exited"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 91, 'column': 4, 'index': 2726}","  89 |     expect(img).not.toHaveClassName(""loading"");
  90 |     expect(img).not.toHaveClassName(""loaded"");
> 91 |     expect(img).not.toHaveClassName(""error"");
     |    ^ Duplicate Assert
  92 |     expect(img).not.toHaveClassName(""entered"");
  93 |     expect(img).not.toHaveClassName(""exited"");
  94 |     expect(getStatus(img)).toBeNull();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 92, 'column': 4, 'index': 2772}","  90 |     expect(img).not.toHaveClassName(""loaded"");
  91 |     expect(img).not.toHaveClassName(""error"");
> 92 |     expect(img).not.toHaveClassName(""entered"");
     |    ^ Duplicate Assert
  93 |     expect(img).not.toHaveClassName(""exited"");
  94 |     expect(getStatus(img)).toBeNull();
  95 |   });"
