file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/hooks/childrenUsingHookResults.test.js,Magic Number,"{'line': 188, 'column': 37, 'index': 5268}","  186 |     );
  187 |
> 188 |     expect(updateInfos).toHaveLength(1);
      |                                     ^ Magic Number
  189 |     expect(updateInfos[0].reason).toEqual({
  190 |       hookDifferences: false,
  191 |       stateDifferences: false,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/cypress/e2e/test_console_assertions.js,Redundant Print,"{'line': 6, 'column': 19, 'index': 208}","  4 |
  5 |     expect(
> 6 |       () => expect(console.group).to.be.calledWithMatches([
    |                   ^ Redundant Print
  7 |         {match: 'BigList', times: 0},
  8 |       ])
  9 |     ).to.throw();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/cypress/e2e/test_console_assertions.js,Redundant Print,"{'line': 12, 'column': 19, 'index': 346}","  10 |
  11 |     expect(
> 12 |       () => expect(console.log).to.be.calledWithMatches([
     |                   ^ Redundant Print
  13 |         {match: [() => true, 'Re-rendered because of props changes'], times: 0},
  14 |       ])
  15 |     ).to.throw();"
