FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/Users/gabriel.amaralmercos.com/Desktop/refactoring-smells/projects/serverless-express/__tests__/unit.js,17,2,347,403,49,12.159,3.129,30.74,288588.646,1287,16032.703,157,9388.177,107.176,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/refactoring-smells/projects/serverless-express/__tests__/integration.js,20,5,776,848,64,7.547,8.962,55.484,1491754.593,3150,82875.255,371,26886.117,88.814,0,4,37,0,0,0,0,1,0,5,1,0,0,0,0,0
