file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 121, 'column': 6, 'index': 4019}","  119 |     return promise.then(() => {
  120 |       expect(dispatch).toBeCalledWith(expect.objectContaining(rollback));
> 121 |       expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
      |      ^ Duplicate Assert
  122 |     });
  123 |   });
  124 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 144, 'column': 6, 'index': 4557}","  142 |
  143 |     return promise.then(() => {
> 144 |       expect(dispatch).toBeCalledWith(expect.objectContaining(defaultCommitAction));
      |      ^ Duplicate Assert
  145 |       expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
  146 |     });
